Advantage,StepsPerSecond,PolicyObjLoss,TemplateEntropy,ObjectLoss,ObjectEntropy,PolicyLoss,TotalStepsPerEpisode,ValueLoss,Value,TemplateLoss,PolicyTemplateLoss,Valid,Step,Loss,EntropyLoss,ClippedGradNorm,UnclippedGradNorm,EpisodeScore
0.021252235397696495,0.07983443302655391,0.0,0.18035972118377686,2.4579265117645264,0.19695590436458588,0.0622471459209919,1.0,0.004858770873397589,-0.039656899869441986,0.7466157078742981,0.0622471459209919,1.0,1,3.260328531265259,-0.011319468729197979,,,
-0.09236613661050797,0.14923134173268654,0.0,0.18013393878936768,1.748751163482666,0.19613586366176605,-0.22164671123027802,2.0,0.06506635248661041,0.15776987373828888,0.5503597259521484,-0.22164671123027802,1.0,2,2.131242275238037,-0.011288094334304333,7.210444969590753,7.210444969590753,
0.018764371052384377,0.21045717378140547,0.0,0.17883126437664032,1.3529260158538818,0.19195209443569183,0.056571900844573975,3.0,0.004911971278488636,-0.03543051332235336,0.4401983618736267,0.056571900844573975,1.0,3,1.843484878540039,-0.011123500764369965,10.238977276957474,10.238977276957474,
0.019255992025136948,0.2639705815599672,0.0,0.17003288865089417,1.0365456342697144,0.1777763068675995,0.05305122584104538,4.0,0.007074219174683094,-0.04116028547286987,0.31288042664527893,0.05305122584104538,1.0,4,1.3991172313690186,-0.01043427549302578,5.797185873079055,5.797185873079055,
-0.0144038749858737,0.3106175866810197,-0.0005770506104454398,0.13696511089801788,1.3435182571411133,0.13904212415218353,-0.026113590225577354,5.0,0.0021481511648744345,0.020194843411445618,0.20243099331855774,-0.025536539033055305,1.0,5,1.5137035846710205,-0.008280216716229916,6.391081904329205,6.391081904329205,
-0.016242459416389465,0.35028477505097544,-0.00023015745682641864,0.09984629601240158,1.8655656576156616,0.09138825535774231,-0.015905961394309998,6.0,0.003967175725847483,0.03496115654706955,0.16397857666015625,-0.015675803646445274,1.0,6,2.011868715286255,-0.005737036466598511,3.0533897403966677,3.0533897403966677,
-0.0016952715814113617,0.38413000493636307,-0.001725970534607768,0.08455310761928558,3.4706523418426514,0.10137239843606949,0.0006195923779159784,7.0,0.00042448024032637477,-0.00014625678886659443,0.14352929592132568,0.0023455629125237465,1.0,7,3.609647750854492,-0.00557776540517807,8.95922645809064,8.95922645809064,
0.008190633729100227,0.41461830881155987,0.00629808846861124,0.035465460270643234,4.452339172363281,0.13026483356952667,0.006593926809728146,8.0,0.0007572412141598761,-0.01673196256160736,0.048940785229206085,0.00029583851573988795,1.0,8,4.503658771514893,-0.004971908871084452,15.641646406881122,15.641646406881122,
-0.003163173794746399,0.44379331678024847,-0.003817116841673851,0.037317074835300446,3.915677785873413,0.15622730553150177,-0.01225954107940197,9.0,0.0012223736848682165,0.006599004380404949,0.043525394052267075,-0.008442424237728119,1.0,9,3.942359685897827,-0.005806331522762775,15.439187033659437,15.439187033659437,
-0.004799867048859596,0.47076375569024187,-0.0069299680180847645,0.06690197438001633,2.8334403038024902,0.17123116552829742,-0.017809711396694183,10.0,0.004797517322003841,0.002585876267403364,0.07887419313192368,-0.010879743844270706,1.0,10,2.892158269882202,-0.007143993861973286,10.35691923147023,10.35691923147023,
0.0019900768529623747,0.49525172349524305,0.00475465739145875,0.060879822820425034,2.747573137283325,0.18076753616333008,0.003709890879690647,11.0,0.0010125944390892982,-0.006765594705939293,0.2211136519908905,-0.0010447666281834245,1.0,11,2.9661598205566406,-0.0072494205087423325,5.539196408253417,5.539196408253417,
0.006998244673013687,0.5176651644411941,0.006447792984545231,0.05745590105652809,2.5970916748046875,0.18540196120738983,0.013588789850473404,12.0,0.0004790089442394674,-0.012236818671226501,0.21423324942588806,0.007140996865928173,1.0,12,2.8181068897247314,-0.007285735569894314,4.59248661934609,4.59248661934609,
-0.00357776484452188,0.5395140407549459,-0.0045560915023088455,0.06809624284505844,2.4880876541137695,0.1864619106054306,-0.011195410043001175,13.0,0.0003110793768428266,0.007101784460246563,0.3490096926689148,-0.006639319006353617,1.0,13,2.8185763359069824,-0.007636744063347578,4.415487001114684,4.415487001114684,
-0.002404081402346492,0.5596148623796118,-0.0028834990225732327,0.06836014240980148,2.704563856124878,0.18393069505691528,8.839904330670834e-05,14.0,0.0002221281611127779,0.0032679287251085043,0.6614505052566528,0.002971898065879941,1.0,14,3.3587563037872314,-0.007568725384771824,4.963354257809499,4.963354257809499,
