PolicyLoss,ValueLoss,TemplateLoss,Step,Valid,TemplateEntropy,EntropyLoss,Advantage,Loss,PolicyObjLoss,StepsPerSecond,ObjectEntropy,TotalStepsPerEpisode,PolicyTemplateLoss,ObjectLoss,Value,ClippedGradNorm,UnclippedGradNorm,EpisodeScore
-0.2224155068397522,0.007449213415384293,0.27245208621025085,8,1.0,0.1802980080246926,-0.005821801256388426,-0.02585931122303009,9.58874225616455,-0.13243664056062698,0.2825960406542278,0.013773573562502861,4.5,0.09185481444001199,0.03584585711359978,0.058233986143022776,,,
-0.48695865273475647,0.47743532061576843,0.3335418999195099,16,0.875,0.1795714274048805,-0.005800148937851191,-0.07746277749538422,4.200525283813477,-0.7674698680639267,0.3824396491783133,0.013772304519079626,12.5,-0.08144095540046692,0.0662916749715805,0.16056376695632937,27.950937169604003,27.950937169604003,
0.8496914505958557,1.8362407684326172,0.4410107731819153,24,0.875,0.1769693251699209,-0.005725300870835781,0.05062383785843849,21.660152435302734,-0.2015039045363665,0.43135058654045805,0.01377046259585768,20.5,0.47962557151913643,0.09657569974660873,-0.07397630624473095,24.511798477012803,24.511798477012803,
-0.8046301603317261,0.9666365385055542,0.5590131282806396,32,1.0,0.16919400170445442,-0.0054925368167459965,-0.08347401767969131,9.494681358337402,-0.8105447962880135,0.46390703303296926,0.013767344993539156,28.5,-0.22837957367300987,0.16486957669258118,0.19723041728138924,109.74885223217916,187.70230216749223,
-0.4907079041004181,1.397341251373291,0.5535978078842163,40,0.75,0.15646390616893768,-0.005113836843520403,-0.09828551113605499,13.783859252929688,-0.8862711042165756,0.4900705369419657,0.013762885821051896,36.5,-0.21396084036678079,0.2022477239370346,0.21080136112868786,55.95683501335725,55.95683501335725,
-0.15232878923416138,1.0915778875350952,0.45982012152671814,48,0.875,0.14641849510371682,-0.004840593319386244,-0.06255124509334564,13.03371810913086,-0.30759452376514673,0.5112670897022056,0.013756587984971702,44.5,0.08676951844245195,0.23857052624225616,0.12206846289336681,69.7061913967118,69.7061913967118,
0.018895387649536133,1.490445852279663,0.3497319519519806,56,0.7499999999999999,0.13300662860274315,-0.004484908655285835,-0.036657363176345825,9.12353801727295,-0.31121236039325595,0.5275273132600139,0.013748029945418239,52.5,-0.01709132455289364,0.22696800529956818,0.10766747966408731,42.413823466783924,42.413823466783924,
-0.5906372666358948,1.1149673461914062,0.18727262318134308,64,0.375,0.09633903484791517,-0.003253482049331069,-0.05575357377529144,13.869254112243652,-0.07279468700289726,0.5413721725838352,0.013733076048083603,60.5,0.08896430488675833,0.21346189081668854,0.10556146875023842,31.068960221852308,31.068960221852308,
-1.1326786279678345,0.7249119281768799,0.08538670837879181,72,0.375,0.04503988567739725,-0.0018328145379200578,-0.09062503278255463,2.4633944034576416,-0.6651746314018965,0.5537805016605885,0.013703924138098957,66.85937500000001,0.030701967887580395,0.18597963452339172,0.18634059466421604,54.695299103515936,54.695299103515936,0.0
-0.5231227278709412,0.09819324314594269,0.18791088461875916,80,0.125,0.016665418981574476,-0.0009512021788395941,-0.0680510550737381,0.9415401220321655,-0.7211218774318695,0.5652933287411409,0.013649456668645144,65.46875,0.014999247854575518,0.1317756623029709,0.15545699372887611,72.40651374170966,72.40651374170966,0.0
