EntropyLoss,PolicyTemplateLoss,Valid,ObjectEntropy,PolicyObjLoss,ObjectLoss,ValueLoss,PolicyLoss,TemplateLoss,TotalStepsPerEpisode,Loss,Value,StepsPerSecond,TemplateEntropy,Step,Advantage,ClippedGradNorm,UnclippedGradNorm,EpisodeScore
-0.005746324546635151,0.12093439232558012,0.875,0.011176736908964814,0.014977920800447464,0.05414343997836113,0.007025259546935558,0.103378526866436,0.40671306848526,4.5,4.126373291015625,-0.051104911137372255,0.46696517224195133,0.1803605481982231,8,0.026907186955213547,,,
-0.005716994404792786,-0.660574696958065,1.0,0.011175407329574227,-0.06575339660048485,0.07812239974737167,0.177999809384346,-0.46978721022605896,0.4690324068069458,12.5,2.262922525405884,0.27849840372800827,0.6326330112211161,0.17940130829811096,16,-0.14758329093456268,22.357173469499685,22.357173469499685,
-0.005632299464195967,0.012671037577092648,0.7499999999999999,0.011172585072927177,0.011054060596507043,0.0962117612361908,0.000524366507306695,0.0069489446468651295,0.4517876207828522,20.5,4.441128730773926,-0.006108678120654076,0.7101822606936288,0.17658214457333088,24,0.001029040664434433,112.13270251070725,213.4163598058389,
-0.0053138406947255135,0.09622547123581171,0.5,0.011168229044415057,0.06416524993255734,0.12536747753620148,0.004599668085575104,0.11187796294689178,0.3527259826660156,28.5,5.0483717918396,-0.04389148345217109,0.7508143119579094,0.16548729874193668,32,0.021506916731595993,14.922122459381274,14.922122459381274,
-0.0035212349612265825,0.010203017562162131,0.5,0.011160152149386704,0.01011307374574244,0.12104193866252899,0.0002009074087254703,0.017314305528998375,0.17090673744678497,36.5,2.549379348754883,-0.006289115059189498,0.779486364823189,0.11132747586816548,40,0.0036899298429489136,31.808105696132287,31.808105696132287,
-0.0013124732067808509,-0.004262026690412313,0.3750000000000001,0.011142698698677123,-0.04400014621205628,0.1494501829147339,0.001370769226923585,-0.023312769830226898,0.0614108070731163,44.5,1.1371359825134277,0.024613432586193085,0.7975958557243088,0.028271490475162864,48,-0.0112900510430336,18.734073053796095,18.734073053796095,
-0.0004096743941772729,0.0010945955418719675,0.125,0.011110524297691882,0.030507805524393916,0.1233900785446167,0.0009362415876239538,0.020905815064907074,0.04898758605122566,52.0625,1.722989797592163,-0.017400619806721807,0.8127587030245,0.00243252124346327,56,0.009315181523561478,14.67190067396211,14.67190067396211,0.0
-0.00034285394940525293,1.531021348455397e-05,0.25,0.01103202486410737,0.04389869002625346,0.12150567770004272,0.0013249602634459734,0.021305598318576813,0.07587844878435135,57.0,1.955062747001648,-0.023991139139980078,0.8238202544032786,0.0004137847245146986,64,0.012705666944384575,12.039084291821844,12.039084291821844,
-0.00032928885775618255,-1.9213962154651654e-07,0.375,0.010852462728507817,-0.0216363308718428,0.12230364978313446,0.0002576060069259256,-0.008615145459771156,0.08050329983234406,64.53125,1.3373292684555054,0.011904621263965964,0.8355412549387744,0.00014669815573142841,72,-0.004764854907989502,16.15682570349076,16.15682570349076,0.0
-0.00031938112806528807,-1.3162560179580396e-06,0.875,0.010419475263915956,-0.032553351717069745,0.10680628567934036,0.0012612658319994807,-0.01781197264790535,0.06508401036262512,72.15625,1.166839599609375,0.01963159092701972,0.844123090781935,0.00015047629676701035,80,-0.009523408487439156,11.448977109762911,11.448977109762911,0.0
-0.0003040301089640707,1.231224490538807e-05,0.625,0.009579845354892313,0.00395084559568204,0.11311724781990051,0.00015138083836063743,0.0013968547573313117,0.05077769234776497,79.5,1.2388825416564941,-0.0030755253392271698,0.8534339113955258,0.0006142932688817382,88,-0.00023905746638774872,15.433584947790436,15.433584947790436,
-0.00032116376678459346,0.0015740141043352196,1.0,0.008328045019879937,0.016672738711349666,0.10229195654392242,0.0008116135140880942,0.014272460713982582,0.03033648245036602,87.03125,1.1710680723190308,-0.019313536118716,0.8632625545034294,0.004010394302895293,96,0.009551523253321648,7.074378179559236,7.074378179559236,0.0
-0.0004751927626784891,0.001150471320215729,0.75,0.007000365818385035,0.004041636275360362,0.0914485827088356,0.00012301381502766162,0.003659988520666957,0.014501120895147324,94.75,0.8425008654594421,-0.004152156499912962,0.8699537830263976,0.009684510470833628,104,0.0021606963127851486,13.149813950808413,13.149813950808413,
-0.0005109047633595765,-0.0004924196819047211,1.0,0.005972736340481789,-0.013330675661563873,0.09050481021404266,0.000965976738370955,-0.00927470438182354,0.013012267649173737,102.75,0.6317893266677856,0.017138533992692828,0.8776306856238079,0.010996430413797498,112,-0.011054130271077156,3.885374283442917,3.885374283442917,
-0.00049344461876899,-0.001516817388619529,0.875,0.00524350575869903,-0.0044189124600961804,0.07043260335922241,5.465112189995125e-05,-0.0038506784476339817,0.012991846539080143,110.75,0.5563266277313232,0.004974779672920704,0.8829155256172849,0.011207568226382136,120,-0.0021525193005800247,10.5457433073008,10.5457433073008,
-0.00047203467693179846,-0.003906463251041714,0.875,0.004540161928161979,0.0068473584251478314,0.05939611420035362,0.00011822440137621015,0.0037311227060854435,0.013035309500992298,113.90625000000001,0.6940444111824036,-0.00531803525518626,0.887916562704869,0.015319603960961103,128,0.00383082777261734,3.230823278193829,3.230823278193829,0.0
-0.0014420185470953584,-0.003806713328231126,1.0,0.003874996822560206,0.007404179370496422,0.03294855356216431,0.0012176872696727514,0.0015124124474823475,0.44599977135658264,92.203125,1.5359617471694946,-0.006271934369578957,0.8954989501832378,0.027728497632779178,136,0.004246106371283531,4.1738836097610825,4.1738836097610825,0.0
