Step,EntropyLoss,StepsPerSecond,TotalStepsPerEpisode,ObjectLoss,PolicyObjLoss,ValueLoss,ObjectEntropy,TemplateLoss,PolicyTemplateLoss,TemplateEntropy,Advantage,PolicyLoss,Loss,Value,Valid,UnclippedGradNorm,ClippedGradNorm,EpisodeScore
8,-0.005456325598061085,0.34892304853617884,4.5,0.15317688882350922,0.07428731699474157,0.0027408681344240904,0.015454275766387582,1.5204752683639526,0.2134997886605561,0.16642658039927483,-0.01710760034620762,-0.06042230874300003,24.498804092407227,0.031629442470148206,1.0,,,
16,-0.005424429662525654,0.5030399840727544,12.5,0.11514618992805481,-0.2199685350060463,1.7204152345657349,0.01545120298396796,1.2687771320343018,-0.5153528656810522,0.16534713655710223,-0.14860346913337708,-0.4953805208206177,21.9256591796875,0.2980382330715656,0.875,54.20223860233091,54.20223860233091,
24,-0.005329485051333904,0.5840365649456347,20.5,0.19104720652103424,0.1620384879061021,3.0284852981567383,0.015442893141880631,1.2334518432617188,0.1254049427807331,0.1622580997645855,-0.028944043442606926,1.612123966217041,26.20026206970215,0.0857735350728035,0.875,144.6454943000872,123.74732654764375,
32,-0.004996433854103088,0.6338442258425112,28.5,0.1478731334209442,0.06288239674177021,2.3329949378967285,0.015423178905621171,1.0953880548477173,0.17449110373854637,0.15069988183677197,-0.020760517567396164,0.7896434664726257,26.66180419921875,0.05059317732229829,0.75,56.25505878475815,56.25505878475815,
40,-0.004033911041915417,0.6702031782841019,36.5,0.18774549663066864,-0.06847535248380154,2.3218796253204346,0.015367501997388898,1.0263296365737915,-0.07352279499173164,0.11819484643638134,-0.043833546340465546,-0.5198845267295837,22.15863800048828,0.10003875102847815,0.875,57.661022418032644,57.661022418032644,
48,-0.002835101680830121,0.6965328599998808,44.5,0.2045266330242157,-0.09442267171107231,1.8050024509429932,0.015213171136565506,0.8901714086532593,-0.13187200529500842,0.07975468039512634,-0.033290471881628036,0.06202094256877899,16.32905387878418,0.10408410616219044,0.625,44.21764218029057,44.21764218029057,
56,-0.00257268943823874,0.7142009367418404,52.5,0.24230730533599854,0.11670902957121145,1.1942719221115112,0.01471842813771218,0.9936469793319702,0.09088606387376787,0.07097622659057379,-0.004739817231893539,0.16402052342891693,24.352258682250977,0.01937455369625241,0.875,63.35896163110647,63.35896163110647,
64,-0.0023926496505737305,0.7291994720076164,60.5,0.20390456914901733,0.04322816128842533,1.8235597610473633,0.013606431079097092,1.1404759883880615,-0.08548062015324831,0.06572957616299391,-0.005530986934900284,0.1447039544582367,24.23558807373047,0.030690488405525677,0.875,72.30066244240697,72.30066244240697,
72,-0.0023328117094933987,0.7405583647348972,68.5,0.22187981009483337,0.09526798101433087,1.3631691932678223,0.01199254859238863,1.1882834434509277,-0.048224405851215124,0.0651406766846776,0.00705326721072197,-0.26313719153404236,23.128753662109375,-0.011605369974859059,0.875,73.45406690424988,73.45406690424988,
80,-0.0025786797050386667,0.7514417035509185,76.5,0.18132711946964264,0.08034954802133144,0.5927670001983643,0.010911543271504343,1.2183268070220947,-0.038399138720706105,0.07314178068190813,0.013828534632921219,-0.13329333066940308,20.925952911376953,0.02007557894103229,0.7499999999999999,51.48655226940764,51.48655226940764,
88,-0.002865626709535718,0.7584744756837891,81.21875,0.18829190731048584,0.09992508009599986,0.05891110748052597,0.010509978397749366,1.0414835214614868,0.005690504796802998,0.08634272683411837,0.006550043821334839,0.03771454095840454,20.00729751586914,0.041716294887010015,1.0,48.46785398856264,48.46785398856264,1.0
96,-0.003706962103024125,0.7650830043036904,87.25,0.17833498120307922,0.08222651829419192,0.8848803043365479,0.010357216466218233,1.340844988822937,-0.013347254716791209,0.10248109791427852,-0.021660447120666504,-0.06304031610488892,19.83940887451172,0.07068729074671865,1.0,60.87883299450823,60.87883299450823,
104,-0.003642728552222252,0.7723092554487153,95.25,0.16681192815303802,-0.08627953147515653,1.161029577255249,0.010115073062479496,1.3448231220245361,-0.16829268541187048,0.10951307509094477,-0.02440958097577095,-0.05166748911142349,16.732810974121094,0.13001399859786034,1.0,50.301601871879484,50.301601871879484,
112,-0.0031245637219399214,0.7792616151165331,97.203125,0.1294838935136795,-0.12630347535014153,1.2040517330169678,0.009449672535993159,1.1298102140426636,-0.13472095783799887,0.10002048965543509,-0.007034417241811752,-0.20126670598983765,15.658513069152832,0.15384896891191602,1.0,107.42403124505472,107.42403124505472,0.0
120,-0.0027679065242409706,0.7880957699136586,42.984375,0.06957395374774933,-0.050899823661893606,2.0206661224365234,0.008377731428481638,0.6827243566513062,-0.267790462821722,0.08546194434165953,-0.07051777839660645,0.14049877226352692,23.629642486572266,0.3432406168431043,0.7499999999999999,143.21691659685166,88.73133526886159,0.1
128,-0.0027105300687253475,0.7921268003065687,14.671875,0.0931381806731224,0.02010092683485709,0.6609129905700684,0.007557335658930243,0.8064862489700317,-0.1210751263424754,0.08236825745552778,-0.04699847474694252,-0.21593110263347626,19.66634178161621,0.22208026982843876,0.7499999999999999,241.08688752087255,87.06829274059783,0.0
136,-0.002753139240667224,0.7946003122790926,18.6484375,0.09475887566804886,0.13320347137050703,1.7352867126464844,0.006843931449111552,0.9499223828315735,0.11165024898946284,0.0848084706813097,0.030889805406332016,0.3044017553329468,27.789386749267578,0.056718736421316855,0.875,99.29212610117611,99.20025285156544,1.0
144,-0.002885122550651431,0.7979163012730573,24.5625,0.11260556429624557,0.17837758717359975,0.45050328969955444,0.006318547413684428,1.2135863304138184,0.23739190842024982,0.08646289817988873,0.011188402771949768,-0.11138086020946503,33.66486358642578,0.03282803588081151,1.0,117.49265244870912,105.51420954390687,1.0
152,-0.002789897145703435,0.8024713482279926,30.2109375,0.1004788875579834,0.05469110835110769,1.07277250289917,0.005959472036920488,1.1722193956375122,0.05077670887112618,0.0877228993922472,-0.02327600121498108,0.255199134349823,20.618635177612305,0.0725466413423419,1.0,180.63789544055817,97.66911981031672,1.0
160,-0.0024771559983491898,0.8064660943086359,33.84375,0.08705190569162369,-0.16033719008555636,0.7052127122879028,0.005663731950335205,1.0588195323944092,-0.16871878039091823,0.08375211525708437,-0.06044081598520279,-0.4408775568008423,20.68177604675293,0.12657127715647223,1.0,58.49332511333705,58.49332511333705,1.0
168,-0.0025708978064358234,0.8097873201203228,39.46875,0.09216366708278656,-0.06956841656938195,0.9239186644554138,0.005415240419097245,1.1796653270721436,-0.11037473916076124,0.08119892701506615,-0.06045883148908615,0.0004116613417863846,24.518463134765625,0.1394098587334156,1.0,89.28454403460091,89.28454403460091,1.0
176,-0.002719795098528266,0.812991145517417,45.8203125,0.08265140652656555,-0.038384960324037834,0.9318470358848572,0.005084603209979833,1.2535881996154785,-0.03914311993867159,0.08295971434563397,-0.05698194354772568,0.002099785953760147,21.55353546142578,0.1356873009353876,1.0,50.972598877757264,50.972598877757264,1.0
184,-0.0023816851899027824,0.8158941158309057,48.03124999999999,0.07518131285905838,-0.02955888910219074,1.233025074005127,0.004727782739792019,1.0124379396438599,-0.09652591962367296,0.08333951607346535,-0.06380459666252136,-0.28430670499801636,20.71881675720215,0.13796701189130545,0.875,53.49961078896331,53.49961078896331,1.0
192,-0.002533415798097849,0.8179842785213367,39.06249999999999,0.08030995726585388,0.007172692334279418,1.2874321937561035,0.004359282262157649,1.122382640838623,0.06970434729009867,0.07566479872912169,-0.038849834352731705,0.05358844995498657,31.34174346923828,0.15268905647099018,1.0,48.27635998488995,48.27635998488995,0.5
200,-0.002047418151050806,0.8214111176025325,22.7421875,0.08646898716688156,0.06372997956350444,1.361541986465454,0.003968166856793687,0.8979923725128174,0.17576128873042762,0.06887592747807503,-0.12445451319217682,-0.036705128848552704,33.156333923339844,0.1958269905298948,0.875,133.53649178301976,93.2660296118745,1.0
208,-0.001990426564589143,0.8228060741747159,15.90625,0.08974257856607437,0.06588293362801778,3.2141404151916504,0.0035464724060148,0.8474289178848267,0.05583849363029003,0.06375689152628183,-0.053874626755714417,-0.11757336556911469,34.2031364440918,0.28639501333236694,1.0,152.86473523854875,93.51944341403032,1.0
216,-0.0018856163369491696,0.8244930535048903,9.570312500000002,0.09095706045627594,-0.07294368738075718,2.3906631469726562,0.0031974453304428607,0.6856473684310913,8.176267147064209e-05,0.06211081985384226,-0.20410943031311035,0.09934765100479126,39.897369384765625,0.4015476927161216,0.875,152.45260671041433,94.8553443484625,1.0
